Subject,Predicate,Object
Agency Single Integrated Financial Management System,encompasses,procedures
Agency Single Integrated Financial Management System,encompasses,controls
Agency Single Integrated Financial Management System,encompasses,data
Asset Identifier,shall be,a string of alpha numeric characters
Asset Identifier,enable,identification of like items
Federal accounting standards,require,recorded costs include all costs
recorded costs,are for,inventory
recorded costs,are for,PP&E assets
total costs,are important for,cost accounting
total costs,are important for,financial reporting
total costs,are important for,asset valuation purposes
organization,determine,coding of assets
program,may determine,coding of assets
finance,may determine,coding of assets
Bulk funding,appropriate for,numerous purchases with same funds
contract number,should consist of,alpha characters
contract number,indicate,agency
contract number,include,alpha-numeric characters
contract number,identify,bureaus
contract number,identify,offices
contract number,identify,administrative subdivisions
contracting,includes,description of supplies and services
contracting,includes,selection of sources
contracting,includes,solicitation of sources
contracting,includes,preparation of contracts
contracting,includes,award of contracts
contracting,includes,contract administration
physical control,include,control of property
tracking,include,movement of property
tracking,include,valuation of items
core financial system,receives data from,all financial systems
core financial system,supports,processing for systems
cycle counting,shall be utilized,validate accuracy of records
cycle counting,shall validate,inventory records
cycle counting,shall validate,controls
Disbursement,shall include,payments with cash
Disbursement,include,payments with check
Disbursement,include,payments with electronic transfer
Designated Official,shall refer to,organizational element responsible
Disbursement Authority,establish,disburse public money
direct cost,shall include,salaries
direct cost,include,materials
direct cost,include,specific costs
Effective Date,be,date of contract award
Electronic Commerce,define,electronic business transactions
electronic techniques,include,electronic mail
electronic techniques,include,messaging
electronic techniques,include,World Wide Web technology
electronic techniques,include,electronic bulletin boards
electronic techniques,include,purchase cards
electronic techniques,include,EFT
electronic techniques,include,EDI
Electronic Data Interchange,transfers and stores,information between computers
Enterprise Architecture,define,business
Enterprise Architecture,define,information necessary to operate business
Enterprise Architecture,define,technologies to support operations
Enterprise Architecture,define,transitional processes
Final Acceptance Indicator,acknowledge,final acceptance occurred
Financial System,includes,information system
Financial System,used for,collecting data
Financial System,used for,processing data
Financial System,used for,maintaining data
Financial System,used for,transmitting data
Financial System,used for,reporting data
Financial System,support,financial functions
Financial System,provides,financial information
Financial System,require,data maintenance
Financial System,encompasses,processes
Financial System,encompasses,procedures
Financial System,encompasses,controls
Financial System,encompasses,data
Financial System,encompasses,hardware
Financial System,encompasses,software
Financial System,encompasses,support personnel
Financial System,integrates,multiple applications
Costs,associated with,carrying inventory
costs,include,storage space cost
costs,include,handling cost
costs,include,obsolescence losses
costs,include,shrinkage
costs,include,clerical costs
Equipment,used for,automatic data handling
Equipment,used for,storage of data
Equipment,used for,manipulation of data
Equipment,used for,management of data
Need for information,require,acquisition information
need for information,require,finance information
management,adopt,plan of organization
management,adopt,methods to ensure compliance
management,adopt,procedures to ensure resource use
management,ensure,resources safeguarded
management,ensure,reliable data obtained
primary method,used by,federal agencies
method,used to,bill and to pay
services and supplies,provided within,government
Financial community,interfaces with,program/contracting function
resources,committed to,inventory process
resources,include,infrastructure
resources,include,acquisition process
documentation,includes,orders
documentation,includes,regulations
documentation,includes,policies
documentation,includes,procedures
documentation,include,agency guidance
Lead Time,total days from,need identification
Lead Time,item,placed into inventory
Mixed System,supports,financial functions
Mixed System,supports,non-financial functions
Obligation,agreement,leading to outlays
obligation,amounts of,orders placed
obligation,amounts of,contracts awarded
obligation,amounts of,services received
partial Payments,provided for,accepted supplies
partial Payments,provided for,accepted services
Payment,disbursement to,contractor
payment,according to,contract terms
payment management function,consists of,payee information maintenance
payment management function,consists of,payment warehousing
payment management function,consists of,payment execution
payment management function,consists of,payment confirmation
payment management function,consists of,follow-up
proper invoice,must meet,requirements of 5 CFR
proper invoice,can include,receiving reports
proper invoice,can include,delivery tickets
receiving report,must meet,requirements of FAR
receiving report,indicates,government acceptance of supplies
receiving report,indicates,government acceptance of services
purchase order,shall be,offer by government
purchase order,includes,supplies
purchase order,includes,services
purchase order,includes,construction
purchase order,includes,research and development
mandatory requirements,describe,what system must do
mandatory requirements,consist of,minimum acceptable functionality
minimum acceptable functionality,necessary to,establish a system
requirements,apply to,existing systems
requirements,apply to,new systems
agencies,should consider,value-added features
payment date,is,three business days after release
payment office,releases,EFT payment transaction instruction
uniform list of accounts,standardizes,Federal agency accounting
uniform list of accounts,supports,preparation of reports
trading partner codes,assigned by,Department of Treasury
trading partner codes,facilitate,disbursement
trading partner codes,facilitate,reconciliation
structure,ensures,UID not duplicated
damaged inventory,is more economical to,dispose of
historical cost,shall include,appropriate purchase
historical cost,shall include,transportation and production costs
donated inventory,shall be valued at,fair value
time of donation,modifies,fair value
inventory acquired through exchange,shall be valued at,fair value of asset
received,modifies,asset
exchange,modifies,fair value
inventory,shall be revalued at,end of fiscal year
latest acquisition cost method,is allowable for,inventory
use of expected net realizable value method,is acceptable if,inability to determine costs
use of expected net realizable value method,is acceptable if,immediate marketability
use of expected net realizable value method,is acceptable if,unit interchangeability
excess inventory,valued using,expected net realizable value
obsolete inventory,valued using,expected net realizable value
unserviceable inventory,valued using,expected net realizable value
allowance method,values,item
valued,modifies,serviceable item
repair allowance,shall be,established
repair,shall be capitalized in,inventory account
cost of repair,modifies,repair
FedBizOps web portal,is,approach
system developers,should be cognizant of,support of requirements
integrated acquisition environment,will allow,agencies to share data elements
E-Authentication,will build,mutual trust
E-Authentication,will enable,use of electronic interactions
adequate security controls,required for,systems
ACES,facilitates,secure online access
ACES,uses,public key infrastructure
security Act,requires,annual agency program reviews
security Act,requires,annual independent evaluations
electronic signatures,ensure,signatures are unique
electronic signatures,ensure,signatures are controlled
electronic signatures,ensure,signatures are verified
electronic signatures,ensure,signatures are linked to data
Federal agencies,shall allow,option to submit information
Federal government,shall develop,public key infrastructure
requirement,exists for,identification of suppliers
all agencies,required to have,vendors registered
EIT,shall be accessible,to people with disabilities
EIT,allows,Federal employees with disabilities to access
EIT,provides,access to people seeking information
intragovernmental transactions,must be eliminated from,financial statements
Office of Management and Budget,working with,logistics and financial communities
office,develops and implements,policies
procedures,develop and implement,electronic exchange mechanisms
JFMIP documents,may be accessed,on Internet
